chemical_code,chemical,items_2019,items_2020
0212000B0,Atorvastatin,3697616,4382962
0602010V0,Levothyroxine sodium,2707630,3050351
0103050P0,Omeprazole,2606609,2973978
0206020A0,Amlodipine,2509145,2866241
0301011R0,Salbutamol,1792093,2776025
0205051R0,Ramipril,2416608,2687812
0103050L0,Lansoprazole,2168631,2515835
0204000H0,Bisoprolol fumarate,2024810,2278618
0906040G0,Colecalciferol,2002353,2153331
0601022B0,Metformin hydrochloride,1839377,2044905
0209000A0,Aspirin,1854585,1928371
0212000Y0,Simvastatin,1856221,1807144
0407010H0,Paracetamol,1465480,1708362
0403030Q0,Sertraline hydrochloride,1354400,1588133
0302000C0,Beclometasone dipropionate,926886,1429334
0407010F0,Co-codamol (Codeine phosphate/paracetamol),1255617,1348040
0403030D0,Citalopram hydrobromide,1177608,1253828
0403010B0,Amitriptyline hydrochloride,1155943,1253092
0202020L0,Furosemide,961955,991575
0205052N0,Losartan potassium,841604,960710
0209000C0,Clopidogrel,829796,915861
0403040X0,Mirtazapine,784122,878032
0205051L0,Lisinopril,721774,764894
0202010B0,Bendroflumethiazide,766959,761951
0603020T0,Prednisolone,589864,735107
0901020G0,Folic acid,664208,713895
0704010U0,Tamsulosin hydrochloride,621205,696692
0501013B0,Amoxicillin,667132,694726
0408010AE,Pregabalin,596799,664971
0205052C0,Candesartan cilexetil,584322,659461
0408010G0,Gabapentin,596798,642891
0601060D0,Glucose blood testing reagents,579145,624254
0403030E0,Fluoxetine hydrochloride,566513,622314
212200002,DUMMY CHEMICAL SUBSTANCE 212200002,552468,605653
0205040D0,Doxazosin mesilate,553591,604598
0208020V0,Warfarin sodium,604739,602519
0601021M0,Gliclazide,570976,581905
0208020Z0,Apixaban,456303,578660
0106040M0,Macrogol 3350,525057,561370
1001010P0,Naproxen,567281,557400
1001040C0,Allopurinol,492063,555823
0204000E0,Atenolol,552513,550334
0204000R0,Propranolol hydrochloride,467041,540436
040702040,Tramadol hydrochloride,510771,522229
0606020A0,Alendronic acid,492197,508819
0302000N0,Fluticasone propionate (Inhalation),389084,478602
0202010P0,Indapamide,395154,457524
130201000,Other emollient preparations,467853,455669
0407020Q0,Morphine sulfate,420593,443343
0407020C0,Codeine phosphate,412271,434090
0401010Z0,Zopiclone,429407,424849
0403040W0,Venlafaxine,378002,423976
0401020K0,Diazepam,404615,401215
0206010K0,Isosorbide mononitrate,381323,399702
0302000K0,Budesonide,303376,396757
0901011F0,Ferrous fumarate,382114,392935
0208020Y0,Rivaroxaban,348902,391682
0205051M0,Perindopril erbumine,365898,385341
0101021B0,Alginic acid compound preparations,342943,367521
0304010I0,Cetirizine hydrochloride,378558,364052
0106020M0,Senna,330487,344164
0501130R0,Nitrofurantoin,343045,339497
0206020F0,Felodipine,305451,338926
0604020C0,Finasteride,306610,338913
213000001,DUMMY CHEMICAL SUBSTANCE 213000001,277506,337027
0402010AB,Quetiapine,295101,326469
0303020G0,Montelukast,256996,326129
1304000V0,Hydrocortisone,374133,325396
0501030I0,Doxycycline hyclate,249319,321744
0301020Q0,Tiotropium bromide,319385,320636
0304010E0,Fexofenadine hydrochloride,263043,315011
090402000,Enteral nutrition,312379,312350
210109006,DUMMY CHEMICAL SUBSTANCE 210109006,264031,309191
0704050Z0,Sildenafil (Erectile Dysfunction),290200,298139
1003020P0,Ibuprofen,310294,294782
0103010T0,Ranitidine hydrochloride,522152,287321
0501012G0,Flucloxacillin sodium,302816,282352
0703021Q0,Desogestrel,236267,280658
0408010H0,Lamotrigine,240245,272760
1304000F0,Betamethasone valerate,274894,267896
0703010F0,Combined ethinylestradiol 30mcg,242043,259168
1106000L0,Latanoprost,225346,257103
0307000J0,Carbocisteine,222438,255284
0212000AA,Rosuvastatin calcium,201901,254981
0206020L0,Lercanidipine hydrochloride,216107,254194
0906026M0,Thiamine hydrochloride,240632,252947
0202030S0,Spironolactone,225978,249449
0901011P0,Ferrous sulfate,231200,246049
0201010F0,Digoxin,240351,245685
0403040Y0,Duloxetine hydrochloride,207082,244428
0206020C0,Diltiazem hydrochloride,219250,225673
0106040G0,Lactulose,229290,224916
0501011P0,Phenoxymethylpenicillin (Penicillin V),206107,224298
0212000X0,Pravastatin sodium,210319,223631
0408010A0,Levetiracetam,193775,221401
0704020AB,Solifenacin,199300,215687
0504010Y0,Quinine sulfate,223215,213430
0408010W0,Sodium valproate,213680,213310
0601011A0,Insulin aspart,159936,212354
0601023X0,Sitagliptin,206675,211544
