chemical_code,chemical,items_2019,items_2020
0212000B0,Atorvastatin,0,4382962
0602010V0,Levothyroxine sodium,0,3050351
0103050P0,Omeprazole,0,2973978
0206020A0,Amlodipine,0,2866241
0301011R0,Salbutamol,0,2776025
0205051R0,Ramipril,0,2687812
0103050L0,Lansoprazole,0,2515835
0204000H0,Bisoprolol fumarate,0,2278618
0906040G0,Colecalciferol,0,2153331
0601022B0,Metformin hydrochloride,0,2044905
0209000A0,Aspirin,0,1928371
0212000Y0,Simvastatin,0,1807144
0407010H0,Paracetamol,0,1708362
0403030Q0,Sertraline hydrochloride,0,1588133
0302000C0,Beclometasone dipropionate,0,1429334
0407010F0,Co-codamol (Codeine phosphate/paracetamol),0,1348040
0403030D0,Citalopram hydrobromide,0,1253828
0403010B0,Amitriptyline hydrochloride,0,1253092
0202020L0,Furosemide,0,991575
0205052N0,Losartan potassium,0,960710
0209000C0,Clopidogrel,0,915861
0403040X0,Mirtazapine,0,878032
0205051L0,Lisinopril,0,764894
0202010B0,Bendroflumethiazide,0,761951
0603020T0,Prednisolone,0,735107
0901020G0,Folic acid,0,713895
0704010U0,Tamsulosin hydrochloride,0,696692
0501013B0,Amoxicillin,0,694726
0408010AE,Pregabalin,0,664971
0205052C0,Candesartan cilexetil,0,659461
0408010G0,Gabapentin,0,642891
0601060D0,Glucose blood testing reagents,0,624254
0403030E0,Fluoxetine hydrochloride,0,622314
212200002,DUMMY CHEMICAL SUBSTANCE 212200002,0,605653
0205040D0,Doxazosin mesilate,0,604598
0208020V0,Warfarin sodium,0,602519
0601021M0,Gliclazide,0,581905
0208020Z0,Apixaban,0,578660
0106040M0,Macrogol 3350,0,561370
1001010P0,Naproxen,0,557400
1001040C0,Allopurinol,0,555823
0204000E0,Atenolol,0,550334
0204000R0,Propranolol hydrochloride,0,540436
040702040,Tramadol hydrochloride,0,522229
0606020A0,Alendronic acid,0,508819
0302000N0,Fluticasone propionate (Inhalation),0,478602
0202010P0,Indapamide,0,457524
130201000,Other emollient preparations,0,455669
0407020Q0,Morphine sulfate,0,443343
0407020C0,Codeine phosphate,0,434090
0401010Z0,Zopiclone,0,424849
0403040W0,Venlafaxine,0,423976
0401020K0,Diazepam,0,401215
0206010K0,Isosorbide mononitrate,0,399702
0302000K0,Budesonide,0,396757
0901011F0,Ferrous fumarate,0,392935
0208020Y0,Rivaroxaban,0,391682
0205051M0,Perindopril erbumine,0,385341
0101021B0,Alginic acid compound preparations,0,367521
0304010I0,Cetirizine hydrochloride,0,364052
0106020M0,Senna,0,344164
0501130R0,Nitrofurantoin,0,339497
0206020F0,Felodipine,0,338926
0604020C0,Finasteride,0,338913
213000001,DUMMY CHEMICAL SUBSTANCE 213000001,0,337027
0402010AB,Quetiapine,0,326469
0303020G0,Montelukast,0,326129
1304000V0,Hydrocortisone,0,325396
0501030I0,Doxycycline hyclate,0,321744
0301020Q0,Tiotropium bromide,0,320636
0304010E0,Fexofenadine hydrochloride,0,315011
090402000,Enteral nutrition,0,312350
210109006,DUMMY CHEMICAL SUBSTANCE 210109006,0,309191
0704050Z0,Sildenafil (Erectile Dysfunction),0,298139
1003020P0,Ibuprofen,0,294782
0103010T0,Ranitidine hydrochloride,0,287321
0501012G0,Flucloxacillin sodium,0,282352
0703021Q0,Desogestrel,0,280658
0408010H0,Lamotrigine,0,272760
1304000F0,Betamethasone valerate,0,267896
0703010F0,Combined ethinylestradiol 30mcg,0,259168
1106000L0,Latanoprost,0,257103
0307000J0,Carbocisteine,0,255284
0212000AA,Rosuvastatin calcium,0,254981
